"","FIPS","GeoName","year","rpp_goods","rpp_services_housing","rpp_services_other","rpp_services_utilities","rpp_all_items"
"2773","25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",2014,"97.124","74.803","98.722","82.522","93.175"
"2774","25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",2014,"97.961","88.766","97.769","95.274","96.465"
"2775","25500","Harrisonburg, VA (Metropolitan Statistical Area)",2014,"91.09","83.089","98.962","100.771","93.219"
"2776","25540","Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",2014,"97.345","123.618","98.583","97.508","101.164"
"2777","25620","Hattiesburg, MS (Metropolitan Statistical Area)",2014,"91.728","63.648","98.858","117.302","89.908"
"2778","25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",2014,"97.428","62.814","100.444","100.683","91.136"
"2779","25940","Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",2014,"91.691","99.229","98.298","107.097","96.305"
"2780","25980","Hinesville, GA (Metropolitan Statistical Area)",2014,"91.492","86.054","98.365","111.639","94.129"
"2781","26140","Homosassa Springs, FL (Metropolitan Statistical Area)",2014,"91.251","76.452","99.883","93.661","92.153"
"2782","26300","Hot Springs, AR (Metropolitan Statistical Area)",2014,"91.227","59.225","98.83","107.587","86.475"
"2783","26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",2014,"98.031","74.854","100.497","104.081","95.219"
"2784","26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",2014,"98.828","106.037","103.106","115.217","102.198"
"2785","26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",2014,"97.494","55.196","100.391","98.159","89.932"
"2786","26620","Huntsville, AL (Metropolitan Statistical Area)",2014,"97.784","63.996","100.254","117.333","93.261"
"2787","26820","Idaho Falls, ID (Metropolitan Statistical Area)",2014,"97.673","60.372","99.038","81.433","90.156"
"2788","26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",2014,"98.68","85.026","96.379","105.994","95.643"
"2789","26980","Iowa City, IA (Metropolitan Statistical Area)",2014,"98.301","101.691","96.16","98.73","97.803"
"2790","27060","Ithaca, NY (Metropolitan Statistical Area)",2014,"97.094","119.517","98.036","102.534","100.895"
"2791","27100","Jackson, MI (Metropolitan Statistical Area)",2014,"98.45","62.987","96.764","99.311","90.168"
"2792","27140","Jackson, MS (Metropolitan Statistical Area)",2014,"96.928","70.21","100.157","117.487","93.869"
"2793","27180","Jackson, TN (Metropolitan Statistical Area)",2014,"91.74","57.499","98.56","103.868","87.38"
"2794","27260","Jacksonville, FL (Metropolitan Statistical Area)",2014,"97.597","101.417","100.395","93.812","99.411"
"2795","27340","Jacksonville, NC (Metropolitan Statistical Area)",2014,"97.428","81.867","100.444","100.838","95.558"
"2796","27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",2014,"98.848","86.832","96.51","93.896","95.566"
"2797","27620","Jefferson City, MO (Metropolitan Statistical Area)",2014,"95.908","56.215","94.023","108.008","88.051"
"2798","27740","Johnson City, TN (Metropolitan Statistical Area)",2014,"97.81","65.606","100.255","104.093","92.499"
"2799","27780","Johnstown, PA (Metropolitan Statistical Area)",2014,"97.961","50.203","97.769","95.51","87.763"
"2800","27860","Jonesboro, AR (Metropolitan Statistical Area)",2014,"91.227","55.866","98.83","107.434","86.852"
"2801","27900","Joplin, MO (Metropolitan Statistical Area)",2014,"98.432","62.226","96.518","108.04","91.242"
"2802","27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",2014,"97.977","127.008","99.909","120.346","103.949"
"2803","28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",2014,"98.45","86.403","96.764","99.35","95.704"
"2804","28100","Kankakee, IL (Metropolitan Statistical Area)",2014,"101.721","86.52","100.234","93.669","98.117"
"2805","28140","Kansas City, MO-KS (Metropolitan Statistical Area)",2014,"97.567","84.962","101.875","110.909","98.08"
"2806","28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",2014,"96.188","100.567","102.29","87.624","99.623"
"2807","28660","Killeen-Temple, TX (Metropolitan Statistical Area)",2014,"97.315","81.967","100.12","115.313","96.265"
"2808","28700","Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",2014,"97.612","50.103","100.099","102.906","87.15"
"2809","28740","Kingston, NY (Metropolitan Statistical Area)",2014,"97.094","119.1","98.036","102.449","100.901"
"2810","28940","Knoxville, TN (Metropolitan Statistical Area)",2014,"97.083","69.846","100.06","104.043","93.372"
"2811","29020","Kokomo, IN (Metropolitan Statistical Area)",2014,"98.745","52.766","96.462","105.918","88.319"
"2812","29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",2014,"98.828","88.328","96.521","92.79","95.831"
"2813","29180","Lafayette, LA (Metropolitan Statistical Area)",2014,"96.439","72.25","99.986","104.084","94.249"
