variable,estimate,latitude,longitude
is_crime_los_angeles THEFT OF IDENTITY,1,34.2066,-118.5328
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.0404,-118.2821
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0693,-118.351
is_crime_los_angeles THEFT OF IDENTITY,1,34.1875,-118.603
is_crime_los_angeles THEFT OF IDENTITY,1,34.0762,-118.2224
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,33.9637,-118.3003
is_crime_los_angeles OTHER MISCELLANEOUS CRIME,1,34.0676,-118.2202
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.0127,-118.3525
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.02,-118.2944
is_crime_los_angeles BURGLARY,1,34.0768,-118.5054
is_crime_los_angeles BURGLARY,1,33.8584,-118.3022
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.2573,-118.5951
is_crime_los_angeles BURGLARY,1,34.0472,-118.301
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.099,-118.2884
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0262,-118.4277
is_crime_los_angeles VEHICLE - STOLEN,1,34.053,-118.234
is_crime_los_angeles THEFT OF IDENTITY,1,34.2048,-118.3703
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,33.9434,-118.3993
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,33.7297,-118.2814
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.0798,-118.2184
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.0437,-118.2617
is_crime_los_angeles BURGLARY,1,34.0672,-118.223
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,33.9579,-118.402
is_crime_los_angeles OTHER MISCELLANEOUS CRIME,1,34.2283,-118.5383
is_crime_los_angeles THEFT OF IDENTITY,1,33.9457,-118.2407
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.0289,-118.2686
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1,34.2158,-118.4277
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.0191,-118.3351
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.0399,-118.5566
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,33.728,-118.3201
is_crime_los_angeles VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,33.9762,-118.2937
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.2108,-118.5798
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0242,-118.2623
is_crime_los_angeles VEHICLE - STOLEN,1,34.0797,-118.2822
is_crime_los_angeles THEFT OF IDENTITY,1,34.042,-118.2625
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,33.985,-118.2958
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.1277,-118.4459
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,33.9727,-118.2846
is_crime_los_angeles THEFT OF IDENTITY,1,34.2156,-118.5645
is_crime_los_angeles THEFT OF IDENTITY,1,34.1667,-118.3702
is_crime_los_angeles THEFT OF IDENTITY,1,34.2455,-118.4177
is_crime_los_angeles SHOPLIFTING - PETTY THEFT ($950 & UNDER),1,34.244,-118.5583
is_crime_los_angeles BURGLARY,1,34.0673,-118.3525
is_crime_los_angeles BURGLARY,1,34.1719,-118.628
is_crime_los_angeles THEFT OF IDENTITY,1,34.1457,-118.4379
is_crime_los_angeles THEFT OF IDENTITY,1,34.2012,-118.5241
is_crime_los_angeles CRIMINAL THREATS - NO WEAPON DISPLAYED,1,33.9925,-118.2652
is_crime_los_angeles BURGLARY,1,34.0617,-118.2795
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.017,-118.2643
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.048,-118.256
is_crime_los_angeles THEFT OF IDENTITY,1,34.03,-118.2008
is_crime_los_angeles BURGLARY,1,33.975,-118.4002
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0735,-118.3828
is_crime_los_angeles THEFT OF IDENTITY,1,34.1107,-118.2607
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.2085,-118.4789
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.2576,-118.4192
is_crime_los_angeles VEHICLE - STOLEN,1,34.0289,-118.2686
is_crime_los_angeles BURGLARY,1,34.2249,-118.4792
is_crime_los_angeles VEHICLE - STOLEN,1,34.0281,-118.2596
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,33.7216,-118.2946
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.2542,-118.4095
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1059,-118.1912
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,33.9677,-118.4231
is_crime_los_angeles VEHICLE - STOLEN,1,33.9789,-118.2981
is_crime_los_angeles THEFT OF IDENTITY,1,34.1011,-118.209
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.0289,-118.2686
is_crime_los_angeles THEFT OF IDENTITY,1,34.0981,-118.3022
is_crime_los_angeles BOAT - STOLEN,1,33.7175,-118.2826
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.2502,-118.2873
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0632,-118.201
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,33.9708,-118.2783
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,33.9449,-118.4059
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.2604,-118.419
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0652,-118.2593
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.1362,-118.342
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.267,-118.4331
is_crime_los_angeles ARSON,1,34.0515,-118.2156
"is_crime_los_angeles THEFT, PERSON",1,34.2217,-118.3965
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,33.9966,-118.2652
is_crime_los_angeles THEFT OF IDENTITY,1,34.2582,-118.281
is_crime_los_angeles BIKE - STOLEN,1,34.1016,-118.3433
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.055,-118.2904
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.1974,-118.5994
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.2239,-118.6017
is_crime_los_angeles ROBBERY,1,34.2279,-118.4516
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,34.2268,-118.3631
is_crime_los_angeles BURGLARY,1,33.9568,-118.429
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,34.0584,-118.281
is_crime_los_angeles BURGLARY,1,34.0237,-118.4246
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0588,-118.4439
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.0565,-118.2566
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.2775,-118.5315
is_crime_los_angeles ORAL COPULATION,1,34.0073,-118.298
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0456,-118.2101
is_crime_los_angeles THEFT OF IDENTITY,1,34.1884,-118.547
is_crime_los_angeles BURGLARY,1,34.2581,-118.3201
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.1649,-118.4531
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,34.263,-118.4336
is_crime_los_angeles BURGLARY,1,34.0395,-118.4637
is_crime_los_angeles HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1,34.0525,-118.2432
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0348,-118.4303
is_crime_los_angeles BIKE - STOLEN,1,33.9875,-118.4672
is_crime_los_angeles THEFT OF IDENTITY,1,34.1927,-118.5011
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1133,-118.3215
is_crime_los_angeles BURGLARY,1,34.0481,-118.2542
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1809,-118.609
is_crime_los_angeles VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,34.0289,-118.4073
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.098,-118.3335
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.2108,-118.4311
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0545,-118.1992
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,33.948,-118.309
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.109,-118.3215
is_crime_los_angeles BURGLARY,1,34.1505,-118.4458
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.0588,-118.4439
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0559,-118.2987
is_crime_los_angeles VEHICLE - STOLEN,1,34.177,-118.5832
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,33.9703,-118.2783
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.2199,-118.5929
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.1846,-118.4553
is_crime_los_angeles BURGLARY,1,34.1133,-118.2443
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0762,-118.343
is_crime_los_angeles THEFT OF IDENTITY,1,34.1171,-118.3843
is_crime_los_angeles THEFT OF IDENTITY,1,34.0279,-118.3644
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0309,-118.2517
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0986,-118.2729
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.193600000000004,-118.4166
is_crime_los_angeles THEFT OF IDENTITY,1,34.1548,-118.4422
is_crime_los_angeles THEFT OF IDENTITY,1,33.9859,-118.2915
is_crime_los_angeles THEFT OF IDENTITY,1,34.0073,-118.2728
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.16,-118.3681
is_crime_los_angeles CHILD NEGLECT (SEE 300 W.I.C.),1,33.9933,-118.2761
is_crime_los_angeles THEFT OF IDENTITY,1,34.0075,-118.2565
is_crime_los_angeles VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,34.0371,-118.3566
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.0484,-118.3131
is_crime_los_angeles THEFT OF IDENTITY,1,33.9721,-118.2652
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,33.9847,-118.4427
is_crime_los_angeles BIKE - STOLEN,1,33.9673,-118.3974
is_crime_los_angeles CHILD PORNOGRAPHY,1,34.1722,-118.3746
is_crime_los_angeles TRESPASSING,1,34.1101,-118.3215
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0841,-118.4515
is_crime_los_angeles THEFT OF IDENTITY,1,34.203,-118.4458
is_crime_los_angeles BURGLARY,1,34.0182,-118.3349
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.043,-118.2606
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1,34.2422,-118.4897
is_crime_los_angeles OTHER MISCELLANEOUS CRIME,1,34.103,-118.3225
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0336,-118.3441
is_crime_los_angeles VEHICLE - STOLEN,1,33.9637,-118.294
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.0573,-118.3472
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0808,-118.2655
is_crime_los_angeles VEHICLE - STOLEN,1,33.9587,-118.3805
is_crime_los_angeles VEHICLE - STOLEN,1,33.9893,-118.2593
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.0908,-118.3121
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.057,-118.3966
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,33.9703,-118.2783
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.2031,-118.5374
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0702,-118.188
is_crime_los_angeles BIKE - STOLEN,1,34.0197,-118.2882
is_crime_los_angeles THEFT OF IDENTITY,1,33.9855,-118.4258
is_crime_los_angeles VIOLATION OF COURT ORDER,1,34.221,-118.5976
"is_crime_los_angeles DRUGS, TO A MINOR",1,33.9568,-118.429
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0418,-118.3071
is_crime_los_angeles THEFT OF IDENTITY,1,34.0894,-118.2119
is_crime_los_angeles THEFT OF IDENTITY,1,34.0721,-118.3841
is_crime_los_angeles THEFT OF IDENTITY,1,34.0717,-118.3702
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.0519,-118.2531
is_crime_los_angeles BURGLARY,1,33.8584,-118.3022
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,33.944,-118.4073
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.059,-118.2369
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.0426,-118.3764
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,34.2029,-118.5955
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,34.2179,-118.5014
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.2074,-118.5918
is_crime_los_angeles THEFT OF IDENTITY,1,34.0962,-118.2072
is_crime_los_angeles THEFT OF IDENTITY,1,34.0584,-118.4247
is_crime_los_angeles VEHICLE - STOLEN,1,34.1794,-118.4465
is_crime_los_angeles CRIMINAL THREATS - NO WEAPON DISPLAYED,1,34.079,-118.3236
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.0487,-118.2627
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.1619,-118.6045
is_crime_los_angeles VEHICLE - STOLEN,1,33.9523,-118.3906
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.2352,-118.4099
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.0171,-118.2618
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.0002,-118.4454
is_crime_los_angeles VEHICLE - STOLEN,1,34.1177,-118.2441
is_crime_los_angeles THEFT OF IDENTITY,1,33.7957,-118.258
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.1075,-118.197
is_crime_los_angeles VIOLATION OF COURT ORDER,1,34.0519,-118.2531
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.2285,-118.507
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.064,-118.4531
is_crime_los_angeles THEFT OF IDENTITY,1,34.0268,-118.3318
is_crime_los_angeles THEFT OF IDENTITY,1,34.0652,-118.2899
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.2519,-118.4364
is_crime_los_angeles THEFT OF IDENTITY,1,34.1139,-118.1886
is_crime_los_angeles SHOPLIFTING - PETTY THEFT ($950 & UNDER),1,34.1867,-118.4052
"is_crime_los_angeles BURGLARY, ATTEMPTED",1,33.983,-118.3216
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0527,-118.3091
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0104,-118.2535
"is_crime_los_angeles BUNCO, GRAND THEFT",1,33.961,-118.2739
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.0436,-118.468
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.0037,-118.3002
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0652,-118.2593
is_crime_los_angeles VEHICLE - STOLEN,1,34.2273,-118.3921
is_crime_los_angeles THEFT OF IDENTITY,1,33.717,-118.2907
is_crime_los_angeles THEFT OF IDENTITY,1,34.1994,-118.4094
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0981,-118.3599
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1939,-118.5262
is_crime_los_angeles THEFT OF IDENTITY,1,34.0569,-118.3621
is_crime_los_angeles TRESPASSING,1,34.1956,-118.5943
is_crime_los_angeles THEFT OF IDENTITY,1,34.1917,-118.4378
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.2649,-118.5176
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.241,-118.5361
is_crime_los_angeles VEHICLE - STOLEN,1,34.069,-118.2857
is_crime_los_angeles THEFT OF IDENTITY,1,34.2788,-118.4264
is_crime_los_angeles BURGLARY,1,34.1025,-118.248
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0006,-118.4555
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0363,-118.2733
is_crime_los_angeles BURGLARY,1,34.0944,-118.319
is_crime_los_angeles THEFT OF IDENTITY,1,34.1938,-118.4702
is_crime_los_angeles ROBBERY,1,33.9834,-118.3177
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0221,-118.2915
is_crime_los_angeles THEFT OF IDENTITY,1,34.0483,-118.3389
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.1939,-118.4705
"is_crime_los_angeles RAPE, FORCIBLE",1,33.9898,-118.2739
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1888,-118.6369
is_crime_los_angeles THEFT OF IDENTITY,1,34.1005,-118.3071
"is_crime_los_angeles EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",1,34.1576,-118.438
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,33.9912,-118.4212
is_crime_los_angeles THEFT OF IDENTITY,1,33.7115,-118.2879
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,33.9792,-118.2918
is_crime_los_angeles THEFT OF IDENTITY,1,34.2002,-118.427
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0709,-118.2801
is_crime_los_angeles BURGLARY,1,34.2392,-118.5733
is_crime_los_angeles OTHER MISCELLANEOUS CRIME,1,34.103,-118.3225
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1077,-118.289
is_crime_los_angeles THEFT OF IDENTITY,1,34.1684,-118.6426
is_crime_los_angeles THEFT OF IDENTITY,1,34.1976,-118.4356
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.1975,-118.4837
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,33.9555,-118.2871
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.3147,-118.4308
is_crime_los_angeles TRESPASSING,1,34.0697,-118.2626
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.0926,-118.3342
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9368,-118.2463
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1312,-118.2678
is_crime_los_angeles THEFT OF IDENTITY,1,34.0537,-118.3288
is_crime_los_angeles BURGLARY,1,33.8584,-118.3022
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,34.0128,-118.2565
is_crime_los_angeles THEFT OF IDENTITY,1,34.0548,-118.3837
is_crime_los_angeles THEFT OF IDENTITY,1,34.1876,-118.4203
is_crime_los_angeles THEFT OF IDENTITY,1,34.2058,-118.3878
is_crime_los_angeles THEFT OF IDENTITY,1,34.3043,-118.4404
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.017,-118.3349
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.1849,-118.4053
is_crime_los_angeles THEFT OF IDENTITY,1,34.1136,-118.252
is_crime_los_angeles THEFT OF IDENTITY,1,33.9817,-118.3187
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,34.0109,-118.3112
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.2184,-118.4547
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0596,-118.3022
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,33.957,-118.3936
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1,34.0502,-118.3822
is_crime_los_angeles THEFT OF IDENTITY,1,34.0625,-118.3549
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.303,-118.421
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0539,-118.2712
is_crime_los_angeles VEHICLE - STOLEN,1,34.026,-118.2322
is_crime_los_angeles THEFT OF IDENTITY,1,34.2442,-118.5362
is_crime_los_angeles THEFT OF IDENTITY,1,33.9735,-118.4236
is_crime_los_angeles THEFT OF IDENTITY,1,34.1731,-118.4073
is_crime_los_angeles THEFT OF IDENTITY,1,34.1045,-118.3883
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.0256,-118.3405
is_crime_los_angeles THEFT OF IDENTITY,1,34.0552,-118.3581
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.0121,-118.3338
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.2594,-118.4848
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.1921,-118.3877
is_crime_los_angeles VIOLATION OF COURT ORDER,1,34.2666,-118.4195
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0199,-118.2152
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.049,-118.3072
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.1148,-118.2505
is_crime_los_angeles BURGLARY,1,34.0881,-118.1877
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.2069,-118.4097
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.057,-118.3966
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.1973,-118.4116
is_crime_los_angeles THEFT OF IDENTITY,1,34.1284,-118.3568
is_crime_los_angeles BIKE - STOLEN,1,34.0412,-118.3076
is_crime_los_angeles BURGLARY,1,34.0504,-118.4206
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,33.9574,-118.2564
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0692,-118.2286
is_crime_los_angeles SHOPLIFTING - PETTY THEFT ($950 & UNDER),1,34.2198,-118.594
is_crime_los_angeles VIOLATION OF TEMPORARY RESTRAINING ORDER,1,34.2048,-118.4443
is_crime_los_angeles CRIMINAL THREATS - NO WEAPON DISPLAYED,1,33.9693,-118.285
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,33.9703,-118.2783
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,33.9965,-118.477
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1527,-118.5069
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.071,-118.2759
is_crime_los_angeles THREATENING PHONE CALLS/LETTERS,1,34.0799,-118.3069
is_crime_los_angeles THEFT OF IDENTITY,1,34.0588,-118.3394
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.1794,-118.3834
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,33.9551,-118.2893
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,33.9265,-118.2881
is_crime_los_angeles DISCHARGE FIREARMS/SHOTS FIRED,1,34.0494,-118.3953
is_crime_los_angeles BURGLARY,1,34.2391,-118.558
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1702,-118.5731
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0194,-118.2512
is_crime_los_angeles THEFT OF IDENTITY,1,33.9644,-118.2827
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1,33.9685,-118.2608
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,34.1006,-118.3417
is_crime_los_angeles THEFT OF IDENTITY,1,34.0488,-118.2553
is_crime_los_angeles THEFT OF IDENTITY,1,33.9855,-118.287
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1,33.8154,-118.3061
is_crime_los_angeles BURGLARY,1,34.2667,-118.4915
is_crime_los_angeles THEFT OF IDENTITY,1,34.2198,-118.6181
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.2501,-118.2859
is_crime_los_angeles VEHICLE - STOLEN,1,34.2494,-118.4396
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.0663,-118.2789
