variable,estimate,latitude,longitude
is_crime_los_angeles BIKE - STOLEN,1,34.0431,-118.4599
is_crime_los_angeles BIKE - STOLEN,1,34.042,-118.2326
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0796,-118.1978
is_crime_los_angeles THEFT OF IDENTITY,1,34.0592,-118.2687
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.0806,-118.1694
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0737,-118.3067
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0486,-118.2519
is_crime_los_angeles THEFT OF IDENTITY,1,34.0437,-118.2229
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,34.0536,-118.3086
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,33.9629,-118.2651
is_crime_los_angeles VEHICLE - STOLEN,1,34.0689,-118.1878
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.203,-118.3646
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,33.9814,-118.2959
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.2567,-118.426
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.1401,-118.4281
is_crime_los_angeles THEFT OF IDENTITY,1,34.0617,-118.3178
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1367,-118.2713
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,33.9664,-118.3046
is_crime_los_angeles BURGLARY,1,34.0315,-118.4526
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0888,-118.2881
is_crime_los_angeles VIOLATION OF RESTRAINING ORDER,1,34.0163,-118.3507
is_crime_los_angeles VEHICLE - STOLEN,1,33.9798,-118.3024
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.0404,-118.2821
"is_crime_los_angeles RAPE, FORCIBLE",1,34.134,-118.1899
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0788,-118.4322
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,33.956,-118.2814
is_crime_los_angeles VEHICLE - STOLEN,1,33.9897,-118.4738
is_crime_los_angeles ORAL COPULATION,1,34.1007,-118.3494
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0226,-118.2838
is_crime_los_angeles HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1,34.2388,-118.4677
